ProductKey,ProductItemCode,Product Name,Sub Category,Product Category,Product Color,Product Size,Product Line,Product Model Name,Product Description,Product Status,ProductKey,CustomerKey,SalesOrderNumber,SalesAmount,DateKey,Date,Day,WeekNumber,Month,MonthShort,MonthNumber,Quater,Year
43,HJ-3416,Thin-Jam Hex Nut 16,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,361,11007,SO51581,2294.99,20190212,2/12/2019,Tuesday,7,February,Feb,2,1,2019
44,HJ-3816,Thin-Jam Hex Nut 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,528,11007,SO51581,4.99,20190213,2/13/2019,Wednesday,7,February,Feb,2,1,2019
45,HJ-3824,Thin-Jam Hex Nut 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,537,11007,SO51581,35,20190214,2/14/2019,Thursday,7,February,Feb,2,1,2019
46,HJ-5161,Thin-Jam Hex Nut 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,485,11007,SO51581,21.98,20190215,2/15/2019,Friday,7,February,Feb,2,1,2019
47,HJ-5162,Thin-Jam Hex Nut 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,222,11007,SO51581,34.99,20190216,2/16/2019,Saturday,7,February,Feb,2,1,2019
48,HJ-5811,Thin-Jam Hex Nut 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,564,11007,SO54705,2384.07,20190217,2/17/2019,Sunday,8,February,Feb,2,1,2019
49,HJ-5818,Thin-Jam Hex Nut 14,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,214,11007,SO54705,34.99,20190218,2/18/2019,Monday,8,February,Feb,2,1,2019
50,HJ-7161,Thin-Jam Hex Nut 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,361,11008,SO51282,2294.99,20190219,2/19/2019,Tuesday,8,February,Feb,2,1,2019
51,HJ-7162,Thin-Jam Hex Nut 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,477,11008,SO51282,4.99,20190220,2/20/2019,Wednesday,8,February,Feb,2,1,2019
52,HJ-9080,Thin-Jam Hex Nut 12,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,478,11008,SO51282,9.99,20190221,2/21/2019,Thursday,8,February,Feb,2,1,2019
53,HJ-9161,Thin-Jam Hex Nut 11,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11008,SO51282,2.29,20190222,2/22/2019,Friday,8,February,Feb,2,1,2019
54,HN-1024,Hex Nut 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,561,11008,SO53765,2384.07,20190223,2/23/2019,Saturday,8,February,Feb,2,1,2019
55,HN-1032,Hex Nut 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,214,11008,SO53765,34.99,20190224,2/24/2019,Sunday,9,February,Feb,2,1,2019
56,HN-1213,Hex Nut 16,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,359,11009,SO51562,2294.99,20190225,2/25/2019,Monday,9,February,Feb,2,1,2019
57,HN-1220,Hex Nut 17,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11009,SO51562,2.29,20190226,2/26/2019,Tuesday,9,February,Feb,2,1,2019
58,HN-1224,Hex Nut 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,575,11009,SO57736,2384.07,20190227,2/27/2019,Wednesday,9,February,Feb,2,1,2019
59,HN-1420,Hex Nut 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,217,11009,SO57736,34.99,20190228,2/28/2019,Thursday,9,February,Feb,2,1,2019
60,HN-1428,Hex Nut 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,361,11010,SO51421,2294.99,20190301,3/1/2019,Friday,9,March,Mar,3,1,2019
61,HN-3410,Hex Nut 22,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,575,11010,SO58533,2384.07,20190302,3/2/2019,Saturday,9,March,Mar,3,1,2019
62,HN-3416,Hex Nut 23,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,225,11010,SO58533,8.99,20190303,3/3/2019,Sunday,10,March,Mar,3,1,2019
63,HN-3816,Hex Nut 12,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,361,11011,SO51650,2294.99,20190304,3/4/2019,Monday,10,March,Mar,3,1,2019
64,HN-3824,Hex Nut 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,574,11011,SO54706,2384.07,20190305,3/5/2019,Tuesday,10,March,Mar,3,1,2019
65,HN-4402,Hex Nut 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,489,11011,SO54706,53.99,20190306,3/6/2019,Wednesday,10,March,Mar,3,1,2019
66,HN-5161,Hex Nut 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,537,11012,SO54508,35,20190307,3/7/2019,Thursday,10,March,Mar,3,1,2019
67,HN-5162,Hex Nut 11,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,528,11012,SO54508,4.99,20190308,3/8/2019,Friday,10,March,Mar,3,1,2019
68,HN-5400,Hex Nut 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,217,11012,SO54508,34.99,20190309,3/9/2019,Saturday,10,March,Mar,3,1,2019
69,HN-5811,Hex Nut 20,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,529,11012,SO68413,3.99,20190310,3/10/2019,Sunday,11,March,Mar,3,1,2019
70,HN-5818,Hex Nut 21,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11012,SO68413,2.29,20190311,3/11/2019,Monday,11,March,Mar,3,1,2019
71,HN-6320,Hex Nut 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,529,11013,SO56137,3.99,20190312,3/12/2019,Tuesday,11,March,Mar,3,1,2019
72,HN-7161,Hex Nut 14,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,217,11013,SO56137,34.99,20190313,3/13/2019,Wednesday,11,March,Mar,3,1,2019
73,HN-7162,Hex Nut 15,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,537,11013,SO74908,35,20190314,3/14/2019,Thursday,11,March,Mar,3,1,2019
74,HN-8320,Hex Nut 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,528,11013,SO74908,4.99,20190315,3/15/2019,Friday,11,March,Mar,3,1,2019
75,HN-9161,Hex Nut 18,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,222,11013,SO74908,34.99,20190316,3/16/2019,Saturday,11,March,Mar,3,1,2019
76,HN-9168,Hex Nut 19,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,529,11014,SO54898,3.99,20190317,3/17/2019,Sunday,12,March,Mar,3,1,2019
77,HT-2981,Handlebar Tube,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,217,11014,SO54898,34.99,20190318,3/18/2019,Monday,12,March,Mar,3,1,2019
78,HT-8019,Head Tube,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,537,11014,SO57222,35,20190319,3/19/2019,Tuesday,12,March,Mar,3,1,2019
79,HU-6280,LL Hub,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,528,11014,SO57222,4.99,20190320,3/20/2019,Wednesday,12,March,Mar,3,1,2019
80,HU-8998,HL Hub,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,217,11014,SO57222,34.99,20190321,3/21/2019,Thursday,12,March,Mar,3,1,2019
81,KW-4091,Keyed Washer,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,465,11014,SO57222,24.49,20190322,3/22/2019,Friday,12,March,Mar,3,1,2019
82,LE-1000,External Lock Washer 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,353,11015,SO51520,2319.99,20190323,3/23/2019,Saturday,12,March,Mar,3,1,2019
83,LE-1200,External Lock Washer 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,485,11015,SO51520,21.98,20190324,3/24/2019,Sunday,13,March,Mar,3,1,2019
84,LE-1201,External Lock Washer 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,486,11015,SO51520,159,20190325,3/25/2019,Monday,13,March,Mar,3,1,2019
85,LE-1400,External Lock Washer 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,363,11016,SO52512,2294.99,20190326,3/26/2019,Tuesday,13,March,Mar,3,1,2019
86,LE-3800,External Lock Washer 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,537,11016,SO52512,35,20190327,3/27/2019,Wednesday,13,March,Mar,3,1,2019
87,LE-5160,External Lock Washer 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11016,SO52512,2.29,20190328,3/28/2019,Thursday,13,March,Mar,3,1,2019
88,LE-6000,External Lock Washer 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,363,11017,SO51256,2294.99,20190329,3/29/2019,Friday,13,March,Mar,3,1,2019
89,LE-7160,External Lock Washer 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,485,11017,SO51256,21.98,20190330,3/30/2019,Saturday,13,March,Mar,3,1,2019
90,LE-8000,External Lock Washer 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,569,11017,SO68396,742.35,20190331,3/31/2019,Sunday,14,March,Mar,3,1,2019
91,LI-1000,Internal Lock Washer 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,353,11018,SO51492,2319.99,20190401,4/1/2019,Monday,14,April,Apr,4,2,2019
92,LI-1200,Internal Lock Washer 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,485,11018,SO51492,21.98,20190402,4/2/2019,Tuesday,14,April,Apr,4,2,2019
93,LI-1201,Internal Lock Washer 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,569,11018,SO69087,742.35,20190403,4/3/2019,Wednesday,14,April,Apr,4,2,2019
94,LI-1400,Internal Lock Washer 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,479,11018,SO69087,8.99,20190404,4/4/2019,Thursday,14,April,Apr,4,2,2019
95,LI-3800,Internal Lock Washer 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,477,11018,SO69087,4.99,20190405,4/5/2019,Friday,14,April,Apr,4,2,2019
96,LI-5160,Internal Lock Washer 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,222,11018,SO69087,34.99,20190406,4/6/2019,Saturday,14,April,Apr,4,2,2019
97,LI-5800,Internal Lock Washer 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,529,11019,SO52626,3.99,20190407,4/7/2019,Sunday,15,April,Apr,4,2,2019
98,LI-6000,Internal Lock Washer 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,539,11019,SO52626,24.99,20190408,4/8/2019,Monday,15,April,Apr,4,2,2019
99,LI-7160,Internal Lock Washer 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,482,11019,SO52626,8.99,20190409,4/9/2019,Tuesday,15,April,Apr,4,2,2019
100,LI-8000,Internal Lock Washer 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,491,11019,SO53834,53.99,20190410,4/10/2019,Wednesday,15,April,Apr,4,2,2019
101,LJ-1213,Thin-Jam Lock Nut 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,529,11019,SO54332,3.99,20190411,4/11/2019,Thursday,15,April,Apr,4,2,2019
102,LJ-1220,Thin-Jam Lock Nut 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,222,11019,SO54332,34.99,20190412,4/12/2019,Friday,15,April,Apr,4,2,2019
103,LJ-1420,Thin-Jam Lock Nut 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,482,11019,SO54332,8.99,20190413,4/13/2019,Saturday,15,April,Apr,4,2,2019
104,LJ-1428,Thin-Jam Lock Nut 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,479,11019,SO56910,8.99,20190414,4/14/2019,Sunday,16,April,Apr,4,2,2019
105,LJ-3410,Thin-Jam Lock Nut 15,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,530,11019,SO57639,4.99,20190415,4/15/2019,Monday,16,April,Apr,4,2,2019
106,LJ-3416,Thin-Jam Lock Nut 16,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11019,SO57639,2.29,20190416,4/16/2019,Tuesday,16,April,Apr,4,2,2019
107,LJ-3816,Thin-Jam Lock Nut 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,539,11019,SO58600,24.99,20190417,4/17/2019,Wednesday,16,April,Apr,4,2,2019
108,LJ-3824,Thin-Jam Lock Nut 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,529,11019,SO58600,3.99,20190418,4/18/2019,Thursday,16,April,Apr,4,2,2019
109,LJ-5161,Thin-Jam Lock Nut 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,483,11019,SO58600,120,20190419,4/19/2019,Friday,16,April,Apr,4,2,2019
110,LJ-5162,Thin-Jam Lock Nut 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,537,11019,SO62659,35,20190420,4/20/2019,Saturday,16,April,Apr,4,2,2019
111,LJ-5811,Thin-Jam Lock Nut 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11019,SO62659,2.29,20190421,4/21/2019,Sunday,17,April,Apr,4,2,2019
112,LJ-5818,Thin-Jam Lock Nut 14,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11019,SO64737,2.29,20190422,4/22/2019,Monday,17,April,Apr,4,2,2019
113,LJ-7161,Thin-Jam Lock Nut 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,535,11019,SO65967,24.99,20190423,4/23/2019,Tuesday,17,April,Apr,4,2,2019
114,LJ-7162,Thin-Jam Lock Nut 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,538,11019,SO66658,21.49,20190424,4/24/2019,Wednesday,17,April,Apr,4,2,2019
115,LJ-9080,Thin-Jam Lock Nut 12,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11019,SO66658,2.29,20190425,4/25/2019,Thursday,17,April,Apr,4,2,2019
116,LJ-9161,Thin-Jam Lock Nut 11,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,536,11019,SO68563,29.99,20190426,4/26/2019,Friday,17,April,Apr,4,2,2019
117,LN-1024,Lock Nut 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,528,11019,SO68563,4.99,20190427,4/27/2019,Saturday,17,April,Apr,4,2,2019
118,LN-1032,Lock Nut 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11019,SO68563,2.29,20190428,4/28/2019,Sunday,18,April,Apr,4,2,2019
119,LN-1213,Lock Nut 16,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,214,11019,SO69177,34.99,20190429,4/29/2019,Monday,18,April,Apr,4,2,2019
120,LN-1220,Lock Nut 17,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,228,11019,SO71963,49.99,20190430,4/30/2019,Tuesday,18,April,Apr,4,2,2019
121,LN-1224,Lock Nut 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,463,11019,SO71963,24.49,20190501,5/1/2019,Wednesday,18,May,May,5,2,2019
122,LN-1420,Lock Nut 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,541,11019,SO72015,28.99,20190502,5/2/2019,Thursday,18,May,May,5,2,2019
123,LN-1428,Lock Nut 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,530,11019,SO72015,4.99,20190503,5/3/2019,Friday,18,May,May,5,2,2019
124,LN-3410,Lock Nut 22,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,475,11019,SO72747,69.99,20190504,5/4/2019,Saturday,18,May,May,5,2,2019
125,LN-3416,Lock Nut 23,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,491,11019,SO72747,53.99,20190505,5/5/2019,Sunday,19,May,May,5,2,2019
126,LN-3816,Lock Nut 12,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,483,11019,SO74561,120,20190506,5/6/2019,Monday,19,May,May,5,2,2019
127,LN-3824,Lock Nut 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,530,11019,SO74593,4.99,20190507,5/7/2019,Tuesday,19,May,May,5,2,2019
128,LN-4400,Lock Nut 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,222,11019,SO74593,34.99,20190508,5/8/2019,Wednesday,19,May,May,5,2,2019
129,LN-5161,Lock Nut 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,467,11019,SO74593,24.49,20190509,5/9/2019,Thursday,19,May,May,5,2,2019
130,LN-5162,Lock Nut 11,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,363,11020,SO51193,2294.99,20190510,5/10/2019,Friday,19,May,May,5,2,2019
131,LN-5400,Lock Nut 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,485,11020,SO51193,21.98,20190511,5/11/2019,Saturday,19,May,May,5,2,2019
132,LN-5811,Lock Nut 20,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,363,11021,SO51610,2294.99,20190512,5/12/2019,Sunday,20,May,May,5,2,2019
133,LN-5818,Lock Nut 21,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,485,11021,SO51610,21.98,20190513,5/13/2019,Monday,20,May,May,5,2,2019
134,LN-6320,Lock Nut 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,487,11021,SO51610,54.99,20190514,5/14/2019,Tuesday,20,May,May,5,2,2019
135,LN-7161,Lock Nut 14,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,353,11022,SO51556,2319.99,20190515,5/15/2019,Wednesday,20,May,May,5,2,2019
136,LN-7162,Lock Nut 15,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11022,SO51556,2.29,20190516,5/16/2019,Thursday,20,May,May,5,2,2019
137,LN-8320,Lock Nut 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,537,11023,SO52912,35,20190517,5/17/2019,Friday,20,May,May,5,2,2019
138,LN-9080,Lock Nut 19,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,528,11023,SO52912,4.99,20190518,5/18/2019,Saturday,20,May,May,5,2,2019
139,LN-9161,Lock Nut 18,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,485,11023,SO52912,21.98,20190519,5/19/2019,Sunday,21,May,May,5,2,2019
140,LR-2398,Lock Ring,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current,490,11023,SO52912,53.99,20190520,5/20/2019,Monday,21,May,May,5,2,2019
141,LR-8520,Lower Head Race,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,529,11023,SO74658,3.99,20190521,5/21/2019,Tuesday,21,May,May,5,2,2019
142,LW-1000,Lock Washer 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11023,SO74658,2.29,20190522,5/22/2019,Wednesday,21,May,May,5,2,2019
143,LW-1200,Lock Washer 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,528,11024,SO60998,4.99,20190523,5/23/2019,Thursday,21,May,May,5,2,2019
144,LW-1201,Lock Washer 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,537,11024,SO60998,35,20190524,5/24/2019,Friday,21,May,May,5,2,2019
145,LW-1400,Lock Washer 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11024,SO60998,2.29,20190525,5/25/2019,Saturday,21,May,May,5,2,2019
146,LW-3400,Lock Washer 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,529,11024,SO62830,3.99,20190526,5/26/2019,Sunday,22,May,May,5,2,2019
147,LW-3800,Lock Washer 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,480,11024,SO62830,2.29,20190527,5/27/2019,Monday,22,May,May,5,2,2019
